LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
species	Bacteroides uniformis	820	27	2110	32	1707	1.2361	0.0000
species	Peptostreptococcus anaerobius	1261	27	858	0	98	8.7551	0.0000
species	Streptococcus equi	1336	27	1111	24	461	2.4100	0.0000
species	Selenomonas sp. F0473	999423	27	1186	36	645	1.8388	0.0000
species	Streptococcus peroris	68891	26	1184	32	807	1.4672	0.0000
species	Chryseobacterium caeni	365343	26	934	12	179	5.2179	0.0000
species	Enterococcus moraviensis	155617	26	826	0	92	8.9783	0.0000
species	Lachnospiraceae bacterium oral taxon 500	712991	25	1603	11	1198	1.3381	0.0000
species	Conchiformibius steedae	153493	25	895	11	216	4.1435	0.0000
species	Streptococcus sp. 2_1_36FAA	469609	25	1424	29	319	4.4639	0.0000
species	Bacteroides caccae	47678	25	1728	5	1507	1.1466	0.0000
species	Actinomyces sp. oral taxon 181	712121	25	1670	39	1366	1.2225	0.0000
species	Bacteroides thetaiotaomicron	818	25	1651	22	1442	1.1449	0.0000
species	Lactobacillus salivarius	1624	24	857	17	112	7.6518	0.0000
species	Brochothrix campestris	2757	24	846	18	65	13.0154	0.0000
species	Prevotella sp. oral taxon 472	655809	23	1453	25	1141	1.2734	0.0000
species	Actinomyces sp. ICM54	936549	23	1475	21	1277	1.1551	0.0000
species	Prevotella sp. oral taxon 306	712461	23	1445	17	875	1.6514	0.0000
species	Parvimonas micra	33033	23	1350	12	1193	1.1316	0.0000
species	Moraxella catarrhalis	480	23	1661	62	1164	1.4270	0.0000
species	Fusobacterium mortiferum	850	22	993	23	271	3.6642	0.0000
species	Porphyromonas uenonis	281920	22	985	8	501	1.9661	0.0000
species	Streptococcus sp. 343_SSPC	1579342	22	1254	23	850	1.4753	0.0000
species	[Eubacterium] sulci	143393	21	1552	31	1456	1.0659	0.0000
species	Riemerella columbina	103810	21	707	0	129	5.4806	0.0000
species	Pseudomonas aeruginosa	287	20	1330	22	1148	1.1585	0.0000
species	Oribacterium sp. oral taxon 078	652706	20	852	3	316	2.6962	0.0000
species	Chryseobacterium vrystaatense	307480	20	600	0	87	6.8966	0.0000
species	Streptococcus sp. C300	563036	20	1037	4	643	1.6128	0.0000
species	Dechloromonas agitata	73030	19	1441	9	1294	1.1136	0.0000
species	Capnocytophaga cynodegmi	28189	19	1373	75	727	1.8886	0.0000
species	Stenotrophomonas maltophilia	40324	19	1266	11	1188	1.0657	0.0000
species	Acidovorax temperans	80878	19	1356	25	897	1.5117	0.0000
species	Streptococcus australis	113107	18	883	11	738	1.1965	0.0000
species	Actinobacillus suis	716	18	1201	17	323	3.7183	0.0000
species	Capnocytophaga sp. oral taxon 336	712216	18	676	0	356	1.8989	0.0000
species	Capnocytophaga sp. oral taxon 323	1705617	18	923	4	759	1.2161	0.0000
species	Fenollaria massiliensis	938288	18	773	12	123	6.2846	0.0000
species	Necropsobacter massiliensis	1400001	18	823	2	167	4.9281	0.0000
species	Porphyromonas asaccharolytica	28123	18	764	20	246	3.1057	0.0000
species	Streptococcus merionis	400065	17	748	10	313	2.3898	0.0000
species	Mitsuokella sp. oral taxon 131	1321780	17	795	19	580	1.3707	0.0000
species	Delftia acidovorans	80866	17	1180	11	867	1.3610	0.0000
species	Acinetobacter johnsonii	40214	17	804	12	704	1.1420	0.0000
species	Actinomyces turicensis	131111	17	1133	42	906	1.2506	0.0000
species	Streptococcus sobrinus	1310	17	519	0	413	1.2567	0.0000
species	Prevotella loescheii	840	16	934	15	873	1.0699	0.0000
species	Pseudomonas extremaustralis	359110	16	864	9	658	1.3131	0.0000
species	Cardiobacterium valvarum	194702	16	1100	41	1009	1.0902	0.0000
species	Streptococcus sp. HPH0090	1203590	16	796	10	515	1.5456	0.0000
species	Lactobacillus hayakitensis	396716	16	496	0	90	5.5111	0.0000
species	[Haemophilus] ducreyi	730	15	544	10	79	6.8861	0.0000
species	Sporocytophaga myxococcoides	153721	15	653	10	349	1.8711	0.0000
species	Actinomyces sp. oral taxon 448	712124	15	747	12	587	1.2726	0.0000
species	Ruminococcus bicirculans	1160721	14	1100	11	923	1.1918	0.0000
species	Snodgrassella alvi	1196083	14	502	0	136	3.6912	0.0000
species	Streptococcus sp. I-P16	1156433	14	641	14	434	1.4770	0.0000
species	Actinomyces sp. ph3	1118058	14	733	10	631	1.1616	0.0000
species	Actinomyces sp. oral taxon 172	712118	14	682	7	584	1.1678	0.0000
species	Lactobacillus nantensis	305793	14	449	0	63	7.1270	0.0000
species	Histophilus somni	731	14	561	10	367	1.5286	0.0000
species	Providencia rustigianii	158850	14	422	0	89	4.7416	0.0000
species	Mycobacterium mucogenicum	56689	14	650	3	636	1.0220	0.0000
species	Streptococcus intermedius	1338	14	819	24	530	1.5453	0.0000
species	Enterococcus mundtii	53346	14	494	0	140	3.5286	0.0000
species	Actinomyces timonensis	1288391	14	772	14	607	1.2718	0.0000
species	Sphingobium yanoikuyae	13690	14	990	14	739	1.3396	0.0000
species	Capnocytophaga sp. oral taxon 324	712211	14	752	17	408	1.8431	0.0000
species	Saccharicrinis fermentans	982	13	400	0	63	6.3492	0.0000
species	Enhydrobacter aerosaccus	225324	13	933	15	653	1.4288	0.0000
species	Fusobacterium sp. CM21	936562	13	878	16	812	1.0813	0.0000
species	Butyricimonas virosa	544645	13	647	16	389	1.6632	0.0000
species	Caminibacter mediatlanticus	291048	13	403	0	60	6.7167	0.0000
species	Prevotella marshii	189722	13	716	11	640	1.1187	0.0000
species	Cetobacterium somerae	188913	13	418	0	157	2.6624	0.0000
species	Actinobacillus minor	51047	13	675	17	522	1.2931	0.0000
species	Peptoniphilus indolicus	33030	13	402	0	60	6.7000	0.0000
species	Empedobacter falsenii	343874	13	410	0	60	6.8333	0.0000
species	Corynebacterium sp. GD7	1232427	13	878	14	799	1.0989	0.0000
species	Neisseria bacilliformis	267212	13	631	10	276	2.2862	0.0000
species	Lactobacillus crispatus	47770	12	860	5	756	1.1376	0.0000
species	Bacteroides fragilis	817	12	836	13	732	1.1421	0.0000
species	Campylobacter coli	195	12	384	0	126	3.0476	0.0000
species	Streptococcus dysgalactiae	1334	12	548	14	356	1.5393	0.0000
species	Treponema maltophilum	51160	12	873	16	670	1.3030	0.0000
species	Carnobacterium divergens	2748	12	562	19	129	4.3566	0.0000
species	Stenoxybacter acetivorans	422441	12	399	1	264	1.5114	0.0000
species	Chryseobacterium antarcticum	266748	12	448	8	77	5.8182	0.0000
species	Porphyromonas crevioricanis	393921	11	350	0	124	2.8226	0.0000
species	Bacteroides paurosaccharolyticus	732242	11	331	0	88	3.7614	0.0000
species	Actinomyces sp. oral taxon 848	649739	11	586	15	455	1.2879	0.0000
species	Mitsuokella multacida	52226	11	338	0	148	2.2838	0.0000
species	Xanthomonas campestris	339	11	613	6	567	1.0811	0.0000
species	Actinomyces sp. ICM58	1105030	11	615	18	538	1.1431	0.0000
species	Chryseobacterium indologenes	253	11	360	0	61	5.9016	0.0000
species	Lachnoanaerobaculum sp. ICM7	936594	11	637	9	466	1.3670	0.0000
species	Filifactor alocis	143361	11	693	0	559	1.2397	0.0000
species	Neisseria sp. 74A18	1696094	11	346	0	122	2.8361	0.0000
species	Pluralibacter gergoviae	61647	11	339	0	60	5.6500	0.0000
species	Streptococcus parauberis	1348	11	356	0	221	1.6109	0.0000
species	Veillonella sp. ACP1	936588	11	704	16	373	1.8874	0.0000
species	Solobacterium moorei	102148	10	689	27	589	1.1698	0.0000
species	Prevotella multisaccharivorax	310514	10	462	19	99	4.6667	0.0000
species	Flavobacterium psychrophilum	96345	10	317	0	61	5.1967	0.0000
species	Streptococcus minor	229549	10	326	0	256	1.2734	0.0000
species	Actinobacillus pleuropneumoniae	715	10	372	5	311	1.1961	0.0000
species	Hungatella hathewayi	154046	10	628	3	505	1.2436	0.0000
species	Oribacterium parvum	1501329	10	497	11	350	1.4200	0.0000
species	Bacteroides vulgatus	821	10	702	12	597	1.1759	0.0000
species	Pelistega indica	1414851	10	379	5	135	2.8074	0.0000
species	Flavobacteriaceae bacterium 3519-10	531844	10	310	1	68	4.5588	0.0000
species	Streptococcus sp. CCH8-C6	1768777	10	623	21	285	2.1860	0.0000
species	Bacteroides coprosuis	151276	10	359	3	108	3.3241	0.0000
species	Bacteroides dorei	357276	10	761	3	528	1.4413	0.0000
species	Selenomonas sp. ND2010	1410618	9	421	20	138	3.0507	0.0000
species	Helicobacter pylori	210	9	278	0	182	1.5275	0.0000
species	Brevibacterium casei	33889	9	618	11	557	1.1095	0.0000
species	Chryseobacterium sp. Leaf180	1736289	9	410	8	114	3.5965	0.0000
species	Lachnoanaerobaculum sp. MSX33	936596	9	506	8	372	1.3602	0.0000
species	Veillonella sp. ICM51a	936591	9	604	19	509	1.1866	0.0000
species	Sphingomonas sp. Ag1	1642949	9	583	7	508	1.1476	0.0000
species	Arenibacter algicola	616991	9	272	0	60	4.5333	0.0000
species	Carnobacterium gallinarum	2749	9	272	0	60	4.5333	0.0000
species	Prevotella oralis	28134	9	404	14	199	2.0302	0.0000
species	Isoptericola variabilis	139208	9	546	22	481	1.1351	0.0000
species	Streptococcus equinus	1335	9	288	0	215	1.3395	0.0000
species	Neisseria sp. HMSC06F02	1581124	9	668	19	493	1.3550	0.0000
species	Helicobacter muridarum	216	9	291	0	65	4.4769	0.0000
species	Actinomyces sp. MS2	1325934	9	320	3	249	1.2851	0.0000
species	Arcticibacter svalbardensis	1288027	9	285	0	63	4.5238	0.0000
species	Sulfurospirillum deleyianum	65553	9	278	0	60	4.6333	0.0000
species	Mogibacterium timidum	35519	8	613	1	508	1.2067	0.0000
species	Prevotella sp. 109	1676614	8	274	3	92	2.9783	0.0000
species	Roseburia intestinalis	166486	8	663	3	587	1.1295	0.0000
species	Facklamia ignava	137730	8	326	8	168	1.9405	0.0000
species	Blautia obeum	40520	8	466	7	458	1.0175	0.0000
species	Sphingobacterium sp. Ag1	1643451	8	592	17	482	1.2282	0.0000
species	Acidovorax caeni	343013	8	535	5	463	1.1555	0.0000
species	Neisseria sp. GT4A_CT1	665946	8	376	3	265	1.4189	0.0000
species	Chryseobacterium soli	445961	8	336	1	193	1.7409	0.0000
species	Selenomonas bovis	416586	8	293	5	247	1.1862	0.0000
species	Atopobium parvulum	1382	8	411	8	308	1.3344	0.0000
species	Streptococcus massiliensis	313439	8	320	8	220	1.4545	0.0000
species	Bacteroides pyogenes	310300	8	284	0	66	4.3030	0.0000
species	Lachnospiraceae bacterium oral taxon 082	712976	8	399	3	256	1.5586	0.0000
species	Streptococcus macacae	1339	8	273	2	172	1.5872	0.0000
species	Actinomyces sp. HPA0247	1203556	8	437	9	359	1.2173	0.0000
species	Acinetobacter guillouiae	106649	8	420	14	351	1.1966	0.0000
species	Streptococcus uberis	1349	8	246	0	208	1.1827	0.0000
species	Sphingomonas sp. Ant H11	1564113	8	448	0	331	1.3535	0.0000
species	Lactobacillus saerimneri	228229	8	241	0	88	2.7386	0.0000
species	Propionibacterium acnes	1747	8	498	2	490	1.0163	0.0000
species	Lactobacillus collinoides	33960	7	236	0	68	3.4706	0.0000
species	Kytococcus sedentarius	1276	7	427	3	420	1.0167	0.0000
species	Porphyromonas gingivicanis	266762	7	224	0	62	3.6129	0.0000
species	[Eubacterium] yurii	39498	7	452	9	357	1.2661	0.0000
species	Actinomyces sp. oral taxon 414	712122	7	337	3	228	1.4781	0.0000
species	Paraglaciecola psychrophila	326544	7	324	13	140	2.3143	0.0000
species	Prevotella oryzae	185293	7	241	0	65	3.7077	0.0000
species	Prevotella veroralis	28137	7	427	13	371	1.1509	0.0000
species	Nautilia profundicola	244787	7	212	0	60	3.5333	0.0000
species	Alkaliphilus oremlandii	461876	7	533	2	369	1.4444	0.0000
species	Bartonella tamiae	373638	7	236	0	66	3.5758	0.0000
species	Bacteroides gallinarum	376806	7	517	5	436	1.1858	0.0000
species	Chryseobacterium daeguense	412438	7	420	9	193	2.1762	0.0000
species	Streptobacillus moniliformis	34105	7	230	0	68	3.3824	0.0000
species	Paracoccus versutus	34007	7	566	5	464	1.2198	0.0000
species	Proteiniclasticum ruminis	398199	7	532	12	329	1.6170	0.0000
species	[Eubacterium] siraeum	39492	7	501	8	494	1.0142	0.0000
species	Streptococcus ictaluri	380397	6	195	0	127	1.5354	0.0000
species	Paenibacillus sophorae	1333845	6	425	9	342	1.2427	0.0000
species	Eubacterium ventriosum	39496	6	430	4	395	1.0886	0.0000
species	Treponema pedis	409322	6	474	17	388	1.2216	0.0000
species	Micrococcus luteus	1270	6	402	10	396	1.0152	0.0000
species	Alistipes shahii	328814	6	465	1	386	1.2047	0.0000
species	Actinomyces sp. SD1	1673722	6	257	5	215	1.1953	0.0000
species	Capnocytophaga sp. oral taxon 335	712215	6	385	3	303	1.2706	0.0000
species	[Eubacterium] infirmum	56774	6	382	4	270	1.4148	0.0000
species	Psychrobacter sp. 1501(2011)	1002339	6	447	0	367	1.2180	0.0000
species	Bordetella bronchiseptica	518	6	374	3	129	2.8992	0.0000
species	Photobacterium profundum	74109	6	188	0	60	3.1333	0.0000
species	Lysinibacillus manganicus	1266064	6	190	0	65	2.9231	0.0000
species	Streptococcus entericus	155680	6	231	4	192	1.2031	0.0000
species	Ruminococcus flavefaciens	1265	6	203	0	66	3.0758	0.0000
species	Bacillus thermoamylovorans	35841	6	320	1	219	1.4612	0.0000
species	Providencia alcalifaciens	126385	6	201	0	130	1.5462	0.0000
