LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
species	Sulfurospirillum cavolei	366522	4	170	6	78	2.1795	0.0000
species	Psychrilyobacter atlanticus	271091	4	174	4	85	2.0471	0.0000
species	Chryseobacterium haifense	421525	4	133	1	100	1.3300	0.0000
species	Actinobacillus succinogenes	67854	4	134	1	99	1.3535	0.0000
species	Dorea sp. D27	658665	4	124	0	60	2.0667	0.0000
species	Streptococcus dysgalactiae	1334	4	135	0	69	1.9565	0.0000
species	Streptococcus equi	1336	4	198	7	194	1.0206	0.0000
species	[Mannheimia] succiniciproducens	157673	4	123	0	60	2.0500	0.0000
species	Lachnospiraceae bacterium AC2014	1408320	4	126	0	64	1.9688	0.0000
species	Pseudomonas lundensis	86185	4	174	0	170	1.0235	0.0000
species	Bacteroides fragilis	817	4	247	11	197	1.2538	0.0000
species	Empedobacter falsenii	343874	4	219	10	121	1.8099	0.0000
species	Ornithobacterium rhinotracheale	28251	4	125	0	61	2.0492	0.0000
species	Stenoxybacter acetivorans	422441	4	229	8	103	2.2233	0.0000
species	Prevotella sp. P5-125	1602172	4	248	9	177	1.4011	0.0000
species	Actinomyces vaccimaxillae	183916	4	142	1	108	1.3148	0.0000
species	Prevotella paludivivens	185294	4	217	8	137	1.5839	0.0000
species	Moraxella caprae	90240	4	158	3	74	2.1351	0.0000
species	Streptococcus minor	229549	4	138	0	66	2.0909	0.0000
species	Hungatella hathewayi	154046	4	169	5	79	2.1392	0.0000
species	Enterococcus caccae	317735	4	299	20	211	1.4171	0.0000
species	Propionibacterium sp. KPL1844	1203573	4	329	18	215	1.5302	0.0000
species	Helicobacter pylori	210	4	129	0	125	1.0320	0.0000
species	Pectobacterium betavasculorum	55207	4	198	3	128	1.5469	0.0000
species	Providencia rettgeri	587	4	128	0	62	2.0645	0.0000
species	Propionibacterium granulosum	33011	4	307	0	250	1.2280	0.0000
species	Leuconostoc mesenteroides	1245	4	323	6	257	1.2568	0.0000
species	Lachnoclostridium phytofermentans	66219	4	126	0	60	2.1000	0.0000
species	Dorea formicigenerans	39486	4	159	1	114	1.3947	0.0000
species	Erysipelotrichaceae bacterium NK3D112	877415	4	279	6	176	1.5852	0.0000
species	Clostridium sp. L2-50	411489	4	218	8	170	1.2824	0.0000
species	Serratia sp. Leaf51	1736224	4	225	7	61	3.6885	0.0000
species	Pseudomonas caricapapayae	46678	4	289	6	118	2.4492	0.0000
species	Yersinia pseudotuberculosis	633	4	243	9	75	3.2400	0.0000
species	Pseudomonas sp. Eur1 9.41	378534	4	165	0	161	1.0248	0.0000
species	Acetivibrio ethanolgignens	290052	3	178	8	135	1.3185	0.0000
species	Haemophilus sp. FF7	1461579	3	188	8	109	1.7248	0.0000
species	Pseudomonas sp. Lz4W	1206777	3	249	1	199	1.2513	0.0000
species	Moraxella boevrei	346665	3	105	1	71	1.4789	0.0000
species	Actinotignum schaalii	59505	3	114	1	85	1.3412	0.0000
species	Ewingella americana	41202	3	104	0	66	1.5758	0.0000
species	Actinotignum urinale	190146	3	101	0	65	1.5538	0.0000
species	Propionimicrobium sp. BV2F7	1111131	3	99	0	66	1.5000	0.0000
species	Selenomonas sp. ND2010	1410618	3	128	3	92	1.3913	0.0000
species	Flavihumibacter solisilvae	1349421	3	105	2	73	1.4384	0.0000
species	Arcanobacterium sp. S3PF19	1219585	3	240	4	237	1.0127	0.0000
species	Snodgrassella alvi	1196083	3	92	0	60	1.5333	0.0000
species	Paenibacillus sophorae	1333845	3	235	12	203	1.1576	0.0000
species	Prevotella sp. FD3004	1408309	3	92	0	89	1.0337	0.0000
species	Citrobacter sp. MGH109	1686382	3	152	2	149	1.0201	0.0000
species	Bacteroides helcogenes	290053	3	138	4	104	1.3269	0.0000
species	Fusobacterium russii	854	3	121	2	87	1.3908	0.0000
species	Streptococcus sp. VT 162	1419814	3	200	5	197	1.0152	0.0000
species	Mannheimia haemolytica	75985	3	119	2	73	1.6301	0.0000
species	Pseudomonas alcaligenes	43263	3	165	3	140	1.1786	0.0000
species	Coprococcus comes	410072	3	269	17	178	1.5112	0.0000
species	Bacteroides finegoldii	338188	3	95	0	61	1.5574	0.0000
species	Pseudomonas tolaasii	29442	3	151	1	148	1.0203	0.0000
species	Pseudoflavonifractor capillosus	106588	3	226	5	163	1.3865	0.0000
species	Phocaeicola abscessus	555313	3	260	10	257	1.0117	0.0000
species	Pseudomonas orientalis	76758	3	285	12	264	1.0795	0.0000
species	Pseudomonas sp. TTU2014-080ASC	1729724	3	144	2	86	1.6744	0.0000
species	gamma proteobacterium WG36	1229485	3	102	1	70	1.4571	0.0000
species	Corynebacterium kroppenstedtii	161879	3	203	6	162	1.2531	0.0000
species	Photorhabdus temperata	574560	3	181	8	145	1.2483	0.0000
species	Mannheimia varigena	85404	3	124	5	92	1.3478	0.0000
species	Porphyromonas levii	28114	3	117	2	76	1.5395	0.0000
species	Edwardsiella tarda	636	3	146	3	110	1.3273	0.0000
species	Lachnospiraceae bacterium ND2006	1410628	3	108	0	68	1.5882	0.0000
species	Staphylococcus aureus	1280	3	174	5	171	1.0175	0.0000
species	Yersinia aldovae	29483	3	196	5	85	2.3059	0.0000
species	Barnesiella viscericola	397865	3	107	1	104	1.0288	0.0000
species	Carnobacterium gallinarum	2749	3	175	9	133	1.3158	0.0000
species	Histophilus somni	731	3	230	5	218	1.0550	0.0000
species	Porphyromonas canoris	36875	3	135	1	98	1.3776	0.0000
species	Capnocytophaga sp. oral taxon 323	1705617	3	196	3	193	1.0155	0.0000
